time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-17T13:59:32.404Z,26.9637,55.2174,10,5,mww,92,32,2.198,0.59,us,us7000iqen,2023-01-28T19:58:21.040Z,"southern Iran",earthquake,8.12,1.825,0.089,12,reviewed,us,us
2022-11-15T15:02:34.646Z,27.7191,56.0137,10,4.6,mb,64,104,2.768,0.54,us,us7000ipva,2023-01-28T19:58:17.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,10.62,1.875,0.078,51,reviewed,us,us
2022-11-12T22:48:01.836Z,30.2246,57.5544,10,4.2,mb,63,95,5.394,0.7,us,us7000ipd6,2023-01-28T19:58:10.040Z,"46 km E of Kerman, Iran",earthquake,9.06,1.931,0.087,37,reviewed,us,us
2022-11-11T18:44:08.866Z,27.5471,56.1092,10,4.6,mb,104,61,2.593,0.51,us,us7000ip4k,2023-01-21T19:27:23.040Z,"43 km NNW of Bandar Abbas, Iran",earthquake,7.35,1.716,0.055,98,reviewed,us,us
2022-11-11T10:36:24.555Z,27.7121,56.0058,10,4.2,mb,70,59,2.761,0.43,us,us7000ip0j,2023-01-21T19:27:21.040Z,"64 km NNW of Bandar Abbas, Iran",earthquake,8.5,1.868,0.079,45,reviewed,us,us
2022-11-03T02:03:13.887Z,27.7781,57.4801,10,4.1,mb,39,85,3.045,0.51,us,us7000im3g,2023-01-12T23:11:06.040Z,"81 km NNE of M?n?b, Iran",earthquake,7.4,1.883,0.112,22,reviewed,us,us
2022-11-02T08:07:03.814Z,26.3522,54.8717,10,4.1,mb,31,114,1.846,0.91,us,us7000in3t,2023-01-12T23:11:36.040Z,"southern Iran",earthquake,6.24,1.868,0.158,11,reviewed,us,us
2022-10-31T16:08:38.061Z,25.9532,60.3815,10,4.1,mb,20,136,3.907,0.88,us,us7000imhy,2023-01-12T23:11:28.040Z,"34 km SSE of N?kshahr, Iran",earthquake,7.7,1.913,0.175,10,reviewed,us,us
2022-10-30T00:49:05.189Z,27.3165,55.6221,10,4,mb,36,122,2.419,0.82,us,us7000im82,2023-01-12T23:11:16.040Z,"66 km WNW of Bandar Abbas, Iran",earthquake,7.33,1.73,0.105,24,reviewed,us,us
2022-10-24T11:21:08.588Z,26.8864,55.3557,10,4.3,mb,36,93,2.079,0.38,us,us7000iky6,2023-01-03T15:23:45.040Z,"59 km NE of Bandar-e Lengeh, Iran",earthquake,9.87,1.935,0.111,23,reviewed,us,us
2022-10-23T01:55:24.630Z,30.3303,50.8984,10,4.5,mb,93,42,6.466,0.63,us,us6000ivup,2023-01-03T15:23:34.040Z,"10 km ESE of Dogonbadan, Iran",earthquake,7.78,1.847,0.068,63,reviewed,us,us
2022-10-10T12:37:19.587Z,38.4774,45.0497,10,4.3,mb,62,49,1.573,0.55,us,us6000ishr,2022-12-17T22:53:49.040Z,"Northwestern Iran",earthquake,6.28,1.917,0.081,43,reviewed,us,us
2022-10-05T13:51:38.954Z,38.5939,45.0923,10,4.5,mb,131,58,1.576,0.53,us,us6000ir26,2022-12-10T22:53:17.040Z,"13 km ENE of Khowy, Iran",earthquake,3.63,1.873,0.058,89,reviewed,us,us
2022-10-05T00:21:29.702Z,38.5064,45.0259,15,5.6,mww,105,67,1.558,0.67,us,us6000iqx6,2022-12-10T22:53:11.040Z,"8 km SE of Khowy, Iran",earthquake,7.72,1.811,0.057,30,reviewed,us,us
2022-09-28T18:03:28.841Z,27.6447,54.2212,17.412,4.7,mb,75,33,3.224,0.73,us,us6000ip1l,2022-12-03T22:02:36.040Z,"",earthquake,8.1,3.889,0.064,74,reviewed,us,us
2022-09-28T16:18:03.028Z,33.3614,46.8173,10,4.3,mb,21,59,1.973,0.55,us,us6000ip18,2022-12-03T22:02:35.040Z,"47 km SE of ?l?m, Iran",earthquake,9.5,1.927,0.168,10,reviewed,us,us
2022-09-27T21:50:33.514Z,27.6273,56.4908,10,4.2,mb,20,103,2.683,0.42,us,us6000iqh5,2022-12-03T22:02:58.040Z,"53 km NNE of Bandar Abbas, Iran",earthquake,7.46,1.929,0.176,9,reviewed,us,us
2022-09-26T13:59:28.718Z,32.3982,56.0284,10,4.2,mb,29,115,7.427,0.32,us,us6000ippu,2022-12-03T22:02:50.040Z,"central Iran",earthquake,12.1,1.929,0.153,14,reviewed,us,us
2022-09-25T23:04:25.176Z,27.6947,56.6185,10,4.3,mb,76,62,2.763,0.79,us,us7000ib08,2022-12-03T22:03:24.040Z,"65 km NNE of Bandar Abbas, Iran",earthquake,2.57,1.885,0.073,54,reviewed,us,us
2022-09-25T15:25:13.810Z,27.7017,56.4543,10,4.9,mb,67,101,2.754,0.45,us,us7000iayf,2022-12-03T22:03:23.040Z,"59 km NNE of Bandar Abbas, Iran",earthquake,8.43,1.875,0.061,87,reviewed,us,us
2022-09-21T17:57:54.724Z,38.4613,44.9496,10,5.1,mww,75,62,1.494,0.92,us,us7000i9z2,2022-11-26T20:57:50.040Z,"9 km S of Khowy, Iran",earthquake,4.74,1.819,0.093,11,reviewed,us,us
2022-09-14T01:54:36.039Z,26.6505,54.1129,10,4.1,mb,30,118,2.537,0.72,us,us7000i7ts,2022-11-19T23:03:05.040Z,"13 km NE of K?sh, Iran",earthquake,7.9,1.94,0.135,15,reviewed,us,us
2022-09-12T23:37:04.470Z,34.224,56.7628,10,4.8,mb,95,61,9.14,0.58,us,us7000i7hz,2022-11-19T23:02:51.040Z,"71 km NNW of Tabas, Iran",earthquake,7.64,1.822,0.052,113,reviewed,us,us
2022-09-11T07:35:24.729Z,31.0015,48.6419,10,4,mb,21,91,4.781,0.49,us,us7000i75s,2022-11-19T23:02:36.040Z,"28 km S of Jong?yeh, Iran",earthquake,6.29,1.964,0.163,10,reviewed,us,us
2022-09-05T09:14:51.147Z,27.6592,56.0916,10,5.1,mww,103,45,2.705,0.7,us,us7000i5bu,2022-11-15T19:06:07.040Z,"55 km NNW of Bandar Abbas, Iran",earthquake,7.1,1.769,0.093,11,reviewed,us,us
2022-09-04T22:24:25.411Z,28.3677,53.1721,10,4.2,mb,16,106,4.356,0.82,us,us7000i7e8,2022-11-15T19:06:15.040Z,"78 km SW of Fas?, Iran",earthquake,8.7,1.981,0.215,6,reviewed,us,us
2022-08-27T15:24:57.252Z,27.9731,56.6932,37.756,4.3,mb,19,82,3.047,1,us,us7000i4pq,2022-11-06T04:39:23.040Z,"96 km NNE of Bandar Abbas, Iran",earthquake,7.58,12.32,0.168,10,reviewed,us,us
2022-08-26T09:50:56.829Z,31.9227,60.0517,10,4.2,mb,58,88,7.732,0.42,us,us7000i2k0,2022-11-01T15:14:18.040Z,"130 km SE of B?rjand, Iran",earthquake,5.21,1.877,0.078,46,reviewed,us,us
2022-08-26T03:05:54.521Z,27.6726,56.0499,10,4.2,mb,26,136,2.72,0.97,us,us7000i2hs,2022-11-01T15:14:13.040Z,"58 km NNW of Bandar Abbas, Iran",earthquake,5.83,1.933,0.186,8,reviewed,us,us
2022-08-17T07:03:07.657Z,26.5784,54.1484,10,4,mb,32,73,2.466,0.8,us,us7000i2ku,2022-10-28T02:27:59.040Z,"13 km E of K?sh, Iran",earthquake,7.53,1.91,0.144,13,reviewed,us,us
2022-08-17T06:57:15.332Z,26.595,54.2554,10,4.1,mb,24,76,2.405,0.8,us,us7000i2kv,2022-10-28T02:27:59.040Z,"23 km E of K?sh, Iran",earthquake,8.77,1.826,0.165,10,reviewed,us,us
2022-08-15T22:15:50.361Z,29.6765,51.1637,10,4.4,mb,81,44,6.504,0.6,us,us6000ib6c,2022-10-28T02:26:13.040Z,"45 km N of Bor?zj?n, Iran",earthquake,8.29,1.843,0.068,62,reviewed,us,us
2022-08-12T18:21:10.093Z,37.116,49.5328,10,4.2,mb,28,170,3.598,0.66,us,us6000iabi,2022-10-21T23:21:07.040Z,"18 km SSW of Rasht, Iran",earthquake,7.74,1.952,0.128,19,reviewed,us,us
2022-08-12T08:54:49.951Z,35.4958,45.9901,10,4.2,mb,13,67,0.438,0.34,us,us6000ia6d,2022-10-21T23:20:57.040Z,"14 km SSE of Baynjiwayn, Iraq",earthquake,2.23,1.992,0.304,3,reviewed,us,us
2022-08-08T07:45:34.524Z,35.0375,59.839,10,4.5,mb,64,80,7.589,0.44,us,us6000i90u,2022-10-21T23:19:09.040Z,"62 km ESE of Torbat-e ?eydar?yeh, Iran",earthquake,8.76,1.896,0.087,39,reviewed,us,us
2022-08-07T06:49:27.974Z,32.6676,47.3048,10,4.3,mb,42,75,3.325,0.39,us,us6000i8u9,2022-10-21T23:18:42.040Z,"4 km SE of Dehlor?n, Iran",earthquake,8.81,1.847,0.113,22,reviewed,us,us
